Feature,Importance
temp_rollmean_7,0.7445441871924742
temp_rollmean_3,0.0896927063605157
temp_rollstd_7,0.01898164934968081
temp_rollstd_3,0.009323618532878422
temp_lag7,0.004056625715089087
solarradiation_rollstd_7,0.0037461447718942762
solarradiation_rollstd_3,0.0036428449002621505
humidity_rollstd_3,0.00357853835125854
humidity_rollstd_7,0.0031016058262158305
solarradiation_lag7,0.002950676569331472
solarradiation_lag1,0.002798489813704611
solarradiation_rollmean_7,0.002776489547815989
day,0.00273754262645543
solarradiation_lag6,0.002708119325197318
solarradiation_lag2,0.0026537432563322238
solarradiation_lag4,0.0026397352241349435
temp_lag4,0.002635440818285287
cloudcover_lag7,0.0026352121540251356
temp_lag5,0.0026196573754304385
solarradiation_lag3,0.002524467101108594
windspeedmean,0.0025139565821729938
solarradiation,0.002513043534483618
sealevelpressure,0.002482040913810021
solarradiation_rollmean_3,0.0024820148090169327
precip,0.0024805100760542055
cloudcover_lag6,0.0024315204602559635
humidity_lag4,0.0024267298185877283
humidity_rollmean_3,0.0024048175645030737
temp_lag6,0.0024018851286336214
solarradiation_lag5,0.0023978026731117925
humidity_lag7,0.0023793894171471918
temp_lag2,0.0023743073974864097
feelslikemax,0.0023478675135853422
temp_lag3,0.002338710911224939
cloudcover_lag3,0.002331870602239957
cloudcover_lag5,0.002327971593618106
cloudcover_lag2,0.0022947300048911383
humidity_lag6,0.0022805370348141928
feelslike,0.0022778479301974854
humidity_rollmean_7,0.002193712965836626
temp_lag1,0.002190680910278444
cloudcover_lag4,0.002175078052404468
cloudcover_lag1,0.002172148198312393
humidity_temp_interact,0.0021630702018241837
cloudcover,0.002146113754554838
humidity_lag5,0.0020905259837145952
windspeedmin,0.002068868127043075
humidity_lag3,0.0020609920849788744
humidity_lag2,0.002044908455287533
visibility,0.002042454614996365
humidity_lag1,0.0020358965236278344
solar_cloud_interact,0.0019958119838132515
temp,0.001964785514819889
humidity,0.0018194838877477906
dew,0.0017557674688015517
tempmax,0.001691481597276449
dayofweek_sin,0.0015517652732954992
dayofweek,0.0015325672491766475
feelslikemin,0.0012342361780150514
dayofweek_cos,0.001150476941518925
tempmin,0.0010961553402393514
month_cos,0.0010621845304534102
month,0.0009828215642500525
month_sin,0.0008997497768614634
"conditions_Rain, Overcast",4.3214042946299874e-05
